Date,Hour,Price_Bus_Avg,Price_Houston,Price_Hub_Avg,Price_North,Price_Panhandle,Price_South,Price_West,Load_Coast,Load_East,Load_FarWest,Load_North,Load_CentralNorth,Load_South,Load_CentralSouth,Load_West,Load_Total,Wind_SystemWide,Wind_Panhandle,Wind_Coast,Wind_South,Wind_West,Wind_North,Solar_SystemWide,Solar_CenterWest,Solar_NorthWest,Solar_FarWest,Solar_FarEast,Solar_SouthEast,Solar_CenterEast
2025-02-20,1,98.43,86.00,94.55,110.00,108.83,73.45,108.72,16444.92,3153.18,6554.19,2291.83,24240.53,5467.16,12528.67,2270.99,72951.48,9887.48,269.58,3080.62,1588.13,3941.45,1007.7,0.3,0.0,0.0,0.02,0.21,0.0,0.07
2025-02-20,2,93.10,80.70,88.75,105.63,103.22,66.45,102.22,16173.59,3188.6,6457.01,2072.45,24189.8,5469.0,12493.38,2375.13,72418.95,9639.18,352.22,3012.31,1464.37,3935.23,875.05,0.37,0.0,0.0,0.01,0.29,0.0,0.07
2025-02-20,3,98.42,86.00,94.00,111.00,108.74,71.68,107.31,15985.41,3138.06,6520.99,2301.78,24156.65,5434.7,12628.32,2132.7,72298.62,10068.85,308.17,2921.09,1393.37,4526.52,919.7,0.44,0.0,0.0,0.01,0.36,0.0,0.07
2025-02-20,4,99.13,86.00,95.07,111.11,110.39,73.34,109.83,15969.38,3178.25,6491.67,2341.61,24344.95,5451.95,12823.72,2115.37,72716.9,10606.27,275.46,2681.1,1359.19,5096.54,1193.98,0.5,0.0,0.0,0.01,0.42,0.0,0.07
2025-02-20,5,114.54,97.65,109.71,130.21,131.46,78.49,132.49,16200.7,3226.16,6363.29,2362.93,24939.7,5576.22,13229.53,2113.53,74012.06,11000.2,256.44,2808.23,1273.88,5354.1,1307.55,0.58,0.0,0.0,0.01,0.49,0.0,0.08
2025-02-20,6,237.92,205.98,227.36,272.06,273.88,159.38,272.01,16627.46,3338.26,6173.68,2122.99,25833.88,5685.78,13679.03,2192.66,75653.72,10819.0,191.07,2891.22,1277.95,5219.53,1239.23,0.55,0.0,0.0,0.02,0.43,0.0,0.1
2025-02-20,7,826.20,772.08,803.41,900.00,894.84,653.57,887.97,17263.58,3459.4,6271.76,2160.29,27022.05,5998.54,14454.14,2207.98,78837.74,9990.14,177.86,2835.15,1042.49,4937.51,997.13,1.18,0.0,0.0,0.02,1.01,0.0,0.15
2025-02-20,8,836.83,768.84,813.12,913.72,915.26,658.80,911.12,17521.83,3495.27,6216.42,2196.22,27809.77,6128.52,14770.55,2240.5,80379.09,9396.52,176.42,2744.29,980.54,4656.46,838.81,1584.71,67.49,39.95,75.57,916.74,124.46,360.5
2025-02-20,9,262.71,206.59,251.96,292.58,301.43,207.68,301.00,17702.42,3215.15,6187.87,2344.59,27172.23,6096.37,14471.3,2232.33,79422.27,9130.66,157.65,2736.88,1113.58,4388.92,733.63,10164.35,535.07,525.02,1607.37,4809.67,624.53,2062.69
2025-02-20,10,95.29,86.73,92.77,104.66,107.81,71.57,108.13,17428.98,3037.34,6288.29,2535.47,26063.74,6069.84,13887.23,2180.0,77490.89,8044.45,163.16,2373.86,938.32,4034.64,534.47,16553.59,1090.92,927.59,3557.26,7342.24,770.66,2864.92
2025-02-20,11,57.90,53.67,56.67,61.71,61.83,49.14,62.18,17031.35,2857.3,6723.58,2578.7,24970.05,6106.75,13286.66,2141.33,75695.73,6914.0,120.02,1994.73,692.22,3514.9,592.13,19894.22,1744.24,1086.36,4271.3,8801.7,999.25,2991.37
2025-02-20,12,47.39,44.26,46.50,49.38,48.11,44.30,48.06,16492.11,2878.05,7245.44,2482.35,23983.84,5837.36,12845.39,2055.04,73819.58,5518.65,172.86,1562.46,566.29,2714.94,502.1,21828.85,2154.14,1360.45,4464.54,9389.61,1431.59,3028.52
2025-02-20,13,43.88,41.42,43.14,45.30,43.86,42.21,43.62,16082.19,2695.96,7446.56,2423.82,22724.83,5621.69,12344.44,2134.24,71473.73,4830.51,350.06,1222.95,387.55,2362.4,507.55,22655.2,2348.18,1379.33,4442.11,9638.84,1838.78,3007.96
2025-02-20,14,44.87,42.07,44.14,46.18,44.87,43.71,44.58,15565.83,2520.86,7415.04,2389.19,21600.33,5259.48,11829.94,1987.45,68568.13,4699.28,546.44,1133.26,407.02,2157.62,454.94,22675.0,2486.65,1452.7,4484.04,9698.46,1542.68,3010.47
2025-02-20,15,42.65,40.00,41.97,43.73,42.22,42.14,42.01,14996.1,2291.35,7348.58,2256.29,20331.43,5065.77,11603.62,1889.34,65782.49,4637.76,572.16,1217.49,444.08,1976.2,427.83,21824.64,2282.53,1242.12,4525.29,9482.06,1230.35,3062.29
2025-02-20,16,38.76,37.05,38.27,39.68,38.68,37.80,38.53,14718.31,2204.11,7006.83,2162.08,19807.12,5047.66,11500.4,1820.31,64266.82,4500.62,653.05,1053.02,395.7,1966.67,432.18,20900.45,2199.25,1195.8,4576.41,9220.82,722.71,2985.46
2025-02-20,17,40.09,38.79,39.57,41.12,39.85,38.74,39.63,14483.88,2203.36,6929.95,2163.13,19731.22,5168.18,11745.07,1826.8,64251.6,4650.45,924.62,997.61,344.98,2030.31,352.93,17516.54,1862.07,1093.6,4414.61,7185.74,374.61,2585.91
2025-02-20,18,70.63,65.71,69.54,73.00,72.14,67.55,71.88,14629.69,2422.61,6921.88,2224.4,20438.85,5411.44,12191.39,1764.99,66005.23,5448.52,1208.32,1028.49,358.56,2519.49,333.66,7270.02,914.62,495.62,2794.08,2055.44,126.28,883.98
2025-02-20,19,121.76,112.41,118.45,130.00,126.51,106.82,124.58,15401.26,2705.91,6663.58,2241.58,21971.01,5737.36,12654.89,1775.9,69151.48,6382.7,1388.72,1153.94,292.02,3066.26,481.76,420.68,50.65,33.44,295.0,21.99,3.89,15.71
2025-02-20,20,133.07,117.83,129.54,140.92,138.43,122.19,137.21,15795.2,2812.11,6538.04,2279.01,22751.48,5910.64,12762.92,1837.84,70687.22,6640.56,1240.24,1069.56,294.4,3483.27,553.09,0.31,0.0,0.0,0.03,0.2,0.0,0.08
2025-02-20,21,105.62,96.68,102.87,112.52,110.34,93.26,109.02,15738.7,2852.75,6505.11,2285.11,22917.18,5985.01,12663.21,1858.99,70806.07,7138.15,1225.5,1195.93,312.09,3736.66,667.97,0.25,0.0,0.0,0.01,0.16,0.0,0.08
2025-02-20,22,90.68,85.71,88.70,95.40,92.28,82.51,91.17,15480.56,2825.38,6378.15,2282.07,22723.45,5907.31,12401.92,1904.09,69902.92,7599.59,1270.85,1544.49,283.2,3849.29,651.76,0.24,0.0,0.0,0.0,0.16,0.0,0.08
2025-02-20,23,62.12,57.77,60.64,65.02,62.10,58.63,61.16,15127.33,2887.02,6558.02,2250.38,22091.74,5756.51,11966.51,1829.82,68467.33,7778.87,1225.29,1846.92,214.21,3959.02,533.43,0.27,0.0,0.0,0.01,0.18,0.0,0.08
2025-02-20,0,61.46,57.88,60.23,63.59,60.86,59.61,59.85,14684.1,2885.03,6682.51,2224.35,21589.99,5611.88,11503.95,1794.14,66975.95,7339.41,1267.8,1929.66,215.74,3442.83,483.38,0.31,0.0,0.0,0.01,0.21,0.0,0.09
2025-02-21,1,72.56,68.87,72.14,73.79,74.98,70.41,75.50,14413.12,2791.38,6591.51,2332.89,21396.38,5615.15,11304.76,1850.06,66295.26,6677.7,1248.29,1965.71,251.48,2802.97,409.25,0.44,0.0,0.0,0.02,0.33,0.0,0.09
2025-02-21,2,60.36,56.90,59.95,61.69,62.89,57.76,63.46,14208.7,2739.39,6701.73,2413.35,21211.52,5323.82,11143.48,1891.35,65633.34,7218.02,1239.79,2411.07,291.32,2940.53,335.31,0.45,0.0,0.0,0.01,0.35,0.0,0.09
2025-02-21,3,59.33,55.84,58.97,60.98,62.71,55.17,63.88,14330.49,2707.44,6796.66,2262.86,20892.4,5307.81,11096.8,1928.58,65323.04,7469.42,1083.71,2717.86,413.97,2950.75,303.13,0.46,0.0,0.0,0.02,0.35,0.0,0.09
2025-02-21,4,64.83,61.58,64.34,67.25,69.19,58.20,70.32,14353.76,2710.06,6606.8,2285.87,20828.69,5484.56,11173.16,1947.96,65390.87,7650.32,1054.1,3055.95,508.61,2744.68,286.98,0.46,0.0,0.0,0.01,0.36,0.0,0.09
2025-02-21,5,73.71,68.62,72.80,77.61,80.00,63.41,81.55,14485.94,2744.3,6602.89,2287.06,21096.23,5639.6,11378.24,1902.98,66137.24,8209.62,1023.86,3213.83,726.19,2905.01,340.73,0.47,0.0,0.0,0.01,0.37,0.0,0.09
2025-02-21,6,111.11,97.95,108.12,121.64,125.73,86.11,126.77,15068.12,2810.16,6387.75,2269.24,21863.46,5796.99,11847.83,1966.83,68010.38,8239.87,1024.5,3375.12,851.43,2625.23,363.59,0.51,0.0,0.0,0.0,0.42,0.0,0.09
2025-02-21,7,200.81,188.37,196.04,218.62,225.14,154.98,222.18,15897.04,2941.58,6403.93,2262.47,23027.42,6224.85,12577.18,1996.11,71330.57,8005.27,917.11,3432.16,1096.49,2286.1,273.41,0.9,0.0,0.0,0.0,0.82,0.0,0.08
2025-02-21,8,217.76,204.29,211.46,240.33,245.19,160.60,240.63,16248.75,3004.54,6418.31,2321.39,23507.72,6271.46,12878.42,2005.0,72655.59,7399.88,823.67,3492.4,1169.62,1694.6,219.59,519.46,63.86,61.7,49.49,285.32,25.34,33.75
2025-02-21,9,130.27,122.38,128.02,138.81,143.84,108.72,142.16,16300.71,2918.1,6379.03,2323.25,23307.63,6227.73,12794.42,1972.45,72223.33,6766.37,674.62,3465.84,1115.38,1312.99,197.54,4091.45,656.87,932.17,1052.75,1102.76,170.3,176.6
2025-02-21,10,72.32,70.93,71.75,74.93,76.85,64.98,76.14,16372.38,2920.94,6543.79,2451.71,22933.28,6335.02,12680.26,2036.22,72273.6,6227.21,675.7,3374.44,1110.26,946.8,120.01,8035.86,1391.54,1725.45,2236.91,1955.18,357.29,369.49
2025-02-21,11,56.50,55.24,56.12,57.99,58.84,52.69,58.55,16309.15,2825.63,7136.17,2454.04,22391.37,6343.3,12417.85,2052.68,71930.19,5686.07,683.49,3329.21,978.13,641.04,54.2,10539.15,1805.15,1786.53,3105.24,2615.42,553.56,673.25
2025-02-21,12,49.24,49.56,48.82,50.93,50.85,44.45,50.34,16148.86,2822.58,7464.34,2453.29,21894.0,6260.23,12098.7,1950.08,71092.08,5161.51,568.59,3371.11,860.31,331.11,30.39,13025.49,2170.33,1766.64,3883.2,3347.68,706.54,1151.1
2025-02-21,13,40.02,40.64,39.73,41.28,41.05,36.36,40.64,15989.04,2733.0,7415.72,2406.02,21320.08,6239.1,12031.39,1932.03,70066.38,4825.89,425.38,3360.46,848.24,180.48,11.33,13783.26,2215.76,1736.39,4161.94,3523.11,845.87,1300.19
2025-02-21,14,38.74,39.53,38.50,39.94,39.69,35.02,39.51,16174.53,2591.18,7526.03,2314.86,20889.56,6271.17,11576.93,1870.28,69214.54,4695.73,339.43,3375.98,799.71,153.62,26.99,14139.13,2250.3,1695.09,4282.97,3796.39,863.03,1251.35
2025-02-21,15,37.86,38.67,37.57,39.24,38.95,33.62,38.77,15960.77,2594.53,7499.03,2243.7,20449.43,6281.06,11425.71,1868.13,68322.36,4559.14,363.91,3254.34,772.78,125.03,43.08,12702.88,2183.84,1657.42,4347.47,2911.2,670.08,932.87
2025-02-21,16,38.68,39.29,38.39,40.18,40.10,34.01,40.09,15790.08,2642.41,7204.14,2144.09,20243.71,6270.58,11210.98,1841.0,67346.98,4495.9,359.21,3166.08,809.82,128.76,32.03,11060.12,2003.12,1745.26,4131.23,2005.54,495.03,679.94
2025-02-21,17,49.55,49.47,49.19,51.47,51.83,43.84,51.97,15546.81,2636.84,7009.07,2115.02,20352.0,6162.3,11320.35,1681.74,66824.13,4513.9,369.52,3147.04,790.23,159.08,48.03,8551.59,1765.66,1643.43,3335.49,1103.88,310.76,392.37
2025-02-21,18,58.53,55.60,57.74,61.51,62.35,51.22,62.64,15728.56,2634.34,6737.09,2115.63,20706.02,6143.76,11604.2,1807.94,67477.54,4721.85,444.95,3061.19,827.22,350.85,37.64,4042.37,901.23,894.66,1678.75,333.3,122.48,111.95
2025-02-21,19,111.24,103.67,109.27,118.21,119.85,94.82,120.40,15850.05,2686.45,6418.34,2107.18,21101.04,6308.69,11876.9,1732.11,68080.75,5721.38,886.02,3084.64,882.12,821.6,47.0,264.39,53.7,61.0,138.93,2.99,4.43,3.34
2025-02-21,20,106.70,98.97,105.08,112.50,113.05,93.33,115.51,15746.99,2724.42,6766.09,2139.52,21102.48,6448.16,11950.5,1793.67,68671.83,7618.49,1649.04,3247.72,1036.2,1605.58,79.95,0.43,0.0,0.0,0.0,0.29,0.1,0.04
2025-02-21,21,92.83,84.45,91.13,98.69,98.45,79.82,101.57,15566.36,2636.35,7059.51,2179.31,20918.94,6381.71,11864.22,1806.7,68413.09,8824.62,2332.01,3335.59,1087.01,1992.08,77.93,0.4,0.0,0.0,0.0,0.26,0.1,0.04
2025-02-21,22,57.49,55.74,57.13,59.79,56.68,50.61,62.37,15327.18,2558.59,7148.51,2221.51,20489.73,6144.75,11636.48,1829.8,67356.55,9450.34,2820.75,3213.63,980.87,2373.83,61.26,0.42,0.0,0.0,0.02,0.25,0.1,0.05
2025-02-21,23,56.60,54.14,56.41,58.23,52.97,51.53,61.76,14870.9,2498.39,7220.13,2176.91,19776.5,6066.57,11269.16,1797.92,65676.49,9579.3,2874.78,3105.13,924.95,2622.71,51.73,0.44,0.0,0.0,0.01,0.26,0.1,0.07
2025-02-21,0,52.46,49.51,52.52,53.25,44.96,49.58,57.74,14407.61,2466.62,7323.53,2197.3,19177.6,5879.6,11041.5,1794.46,64288.21,9698.53,2934.17,3054.54,951.83,2702.19,55.8,0.44,0.0,0.0,0.02,0.26,0.1,0.06
2025-02-22,1,57.77,57.63,58.47,58.40,45.62,52.01,65.83,14148.82,2402.84,7233.63,2208.61,18528.12,5775.82,10935.68,1817.39,63050.92,10069.28,2941.52,3176.25,1169.66,2731.02,50.83,0.43,0.0,0.0,0.01,0.26,0.1,0.06
2025-02-22,2,50.33,49.83,50.92,51.25,43.32,44.02,58.58,14130.67,2455.39,7036.22,2137.51,18274.37,5785.96,10880.12,1880.67,62580.92,10595.34,2937.44,3344.45,1312.75,2961.61,39.09,0.44,0.0,0.0,0.01,0.26,0.1,0.07
2025-02-22,3,47.05,46.12,47.80,47.89,38.39,40.30,56.92,13735.65,2379.35,7021.52,2103.62,18202.09,5809.52,10742.51,1889.58,61883.83,10748.85,2647.02,3319.05,1427.66,3287.71,67.41,0.45,0.0,0.0,0.01,0.26,0.1,0.08
2025-02-22,4,48.00,46.40,48.59,49.35,41.59,40.26,58.34,13622.94,2306.11,7000.67,2091.3,17905.45,5655.72,10758.65,1839.86,61180.72,10168.55,2328.09,3416.33,1462.96,2902.27,58.9,0.49,0.0,0.0,0.01,0.3,0.1,0.08
2025-02-22,5,49.62,46.62,50.16,51.82,43.47,39.00,63.22,13628.0,2317.82,6856.42,2101.84,18081.26,5803.0,10888.24,1846.8,61523.39,9309.78,2026.93,3493.22,1622.9,2138.85,27.88,0.57,0.0,0.0,0.02,0.36,0.1,0.09
2025-02-22,6,53.41,50.48,53.94,55.06,45.48,44.97,65.27,13846.1,2366.36,6802.42,2133.8,18636.82,5810.19,11110.29,1880.6,62586.57,8691.36,1902.17,3442.53,1535.16,1784.75,26.75,0.59,0.0,0.0,0.03,0.36,0.1,0.1
2025-02-22,7,99.08,90.38,96.89,108.32,94.51,75.21,113.65,14241.74,2406.69,7014.16,2222.81,19440.37,5829.63,11520.71,1831.57,64507.67,7857.71,1867.37,3097.23,1252.85,1615.59,24.67,1.53,0.0,0.0,0.0,1.33,0.1,0.1
2025-02-22,8,97.42,88.10,95.51,105.80,90.99,75.71,112.44,14588.29,2480.41,7102.99,2230.5,19905.52,6020.7,11950.53,1867.37,66146.29,7194.43,1780.34,2921.84,1059.66,1411.84,20.75,891.17,116.0,67.94,107.97,457.26,20.73,121.27
2025-02-22,9,67.42,63.89,66.62,70.70,65.77,59.11,72.77,14988.52,2416.22,7369.38,2272.56,19530.09,6111.89,12184.96,1953.15,66826.77,6515.79,1428.8,2983.67,929.31,1150.08,23.93,8320.62,1236.69,1027.66,2265.09,2697.48,149.39,944.31
2025-02-22,10,55.80,56.46,55.34,57.80,57.38,50.00,57.12,15270.33,2226.41,7523.53,2129.05,18760.08,6253.55,12164.87,1847.11,66174.94,5126.86,533.87,3071.53,965.78,551.52,4.16,14716.44,2279.04,1710.5,4145.9,4465.04,302.33,1813.63
2025-02-22,11,50.85,51.52,50.41,52.80,52.34,45.25,52.06,15381.25,2095.91,7691.31,2025.4,17739.24,6308.55,11873.12,1710.41,64825.19,4663.38,263.23,3163.66,877.58,358.34,0.57,16428.79,2563.16,1711.4,4368.14,5449.78,407.83,1928.48
2025-02-22,12,34.66,35.08,34.42,35.70,35.42,31.65,35.25,15325.97,1976.24,7821.02,2001.58,16657.99,6382.38,11493.88,1584.19,63243.24,4179.89,269.26,3054.24,737.89,118.36,0.14,16849.17,2596.17,1668.29,4293.12,5623.46,585.19,2082.94
2025-02-22,13,30.18,30.62,30.01,30.98,30.76,27.79,30.63,15185.48,2064.4,7767.39,1841.36,15925.95,6065.88,11100.28,1497.78,61448.5,3859.27,517.82,2735.81,548.48,56.22,0.94,16259.76,2583.81,1631.64,4198.57,5170.23,662.3,2013.21
2025-02-22,14,26.28,26.67,26.14,26.93,26.76,24.30,26.66,15270.74,1809.09,7593.12,1741.96,14863.11,5892.64,10653.04,1462.49,59286.19,3646.29,674.89,2466.61,432.65,69.56,2.58,15676.75,2524.77,1632.91,4179.97,4897.4,590.49,1851.21
2025-02-22,15,25.04,25.33,24.95,25.44,25.32,23.79,25.25,15304.9,1822.47,7563.31,1787.16,14242.0,5845.21,10488.53,1482.45,58536.04,3274.79,678.61,1966.81,398.14,221.19,10.04,15259.04,2509.99,1680.18,4240.62,4696.09,502.02,1630.14
2025-02-22,16,25.53,25.80,25.44,25.93,25.80,24.32,25.71,15241.2,1732.88,7323.34,1652.59,13728.34,5634.23,10343.24,1344.53,57000.35,2867.34,727.33,1479.72,294.33,352.65,13.31,14353.8,2516.06,1696.63,4174.11,4129.46,407.96,1429.58
